AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,WLG220,Spanish II,1114,8,9,,1,,,,,,,,18
,,,WLG230,Spanish III,1115,9,16,3,,4,,,,,,,32
,,,WLG240,Spanish IV,1116,15,27,6,1,4,,,,,,,53
,,,WLG250,Spanish V,1117,10,9,3,,1,,,,,,,23
,,,WLG310,German I,1118,12,8,3,,3,,,1,,,,27
,,,WLG320,German II,1119,9,10,8,1,2,,,,,,,30
,,,WLG330,German III,1120,8,12,1,,1,,,,,,,22
,,,WLG420,Japanese II,1121,6,10,2,2,2,1,,1,,,,24
,,,WLG430,Japanese III,1122,11,3,,1,,,,,,,,15
,,,WLG510,Russian I,1123,14,6,4,1,4,,,,,,,29
,,,WLG520,Russian II,1124,7,8,4,4,2,,,1,,,,26
,,,WLG530,Russian III,1125,3,10,,,3,,,,,,,16
,,,WLG610,Mandarin Chinese I,1126,9,4,7,1,1,,,,,,,22
,,,,,1127,15,17,6,2,2,1,,2,,,,45
